bearing,delay,event_timestamp,lastLocID,lastStopSeq,nextLocID,nextStopSeq,tripID,vehicle_id,vehicle_location_latitude,vehicle_location_longitude
269,3,2017-01-31 07:16:58,8373,12,8374,13,7129574,231,45.530117,-122.653671
308,-171,2017-01-31 07:16:58,11516,16,11498,17,7128218,303,45.603468,-122.68568400000001
173,-542,2017-01-31 07:17:04,13125,18,13126,19,7129359,104,45.495470000000005,-122.56619599999999
270,-202,2017-01-31 07:17:05,8376,7,8377,8,7127665,242,45.53011,-122.663045
256,-251,2017-01-31 07:17:12,9818,21,9823,22,7127664,235,45.490241,-122.808107
91,-50,2017-01-31 07:17:26,9848,1,9846,2,7127290,320,45.521351,-122.986448
194,0,2017-01-31 07:17:42,8370,10,8347,1,7127286,124,45.529586,-122.563543
82,-99,2017-01-31 07:17:44,8344,32,8345,33,7127547,313,45.527596,-122.60682299999999
66,-105,2017-01-31 07:17:47,13710,8,13711,9,7130328,319,45.502728999999995,-122.670965
120,-157,2017-01-31 07:18:08,11499,2,11500,3,7128426,413,45.583768,-122.685753
182,-520,2017-01-31 07:18:13,13126,19,13127,20,7129359,321,45.490693,-122.56637099999999
272,9,2017-01-31 07:18:22,8374,13,8375,14,7129574,241,45.530111,-122.657575
271,44,2017-01-31 07:18:26,8359,1,8360,2,7127668,202,45.502132,-122.42126
20,-153,2017-01-31 07:18:35,10293,1,7774,2,7128219,532,45.511561,-122.682689
296,-191,2017-01-31 07:18:36,10121,31,9624,32,7127911,223,45.50783,-122.774831
53,-93,2017-01-31 07:18:58,8345,33,8346,34,7127547,313,45.534109,-122.59246100000001
90,-30,2017-01-31 07:19:10,9846,2,9843,3,7127290,247,45.521278,-122.97922700000001
299,-258,2017-01-31 07:19:20,9823,22,9825,23,7127664,235,45.495396,-122.82180600000001
185,-501,2017-01-31 07:19:53,13127,20,13128,21,7129359,321,45.480126,-122.56690900000001
179,-143,2017-01-31 07:19:58,8377,8,8378,9,7127665,209,45.525659000000005,-122.67146399999999
301,-304,2017-01-31 07:19:58,9821,15,9969,16,7127287,417,45.509065,-122.781177
90,21,2017-01-31 07:20:09,8347,1,8348,2,7127286,124,45.522619,-122.557325
270,-27,2017-01-31 07:20:29,8375,14,8376,15,7129574,241,45.530111,-122.663174
268,-36,2017-01-31 07:20:32,8373,16,8374,17,7127666,106,45.530028,-122.64910800000001
91,-126,2017-01-31 07:20:37,13711,9,13712,10,7130328,319,45.506459,-122.662493
306,-234,2017-01-31 07:20:56,9825,23,9819,24,7127664,235,45.500645,-122.83339099999999
19,-212,2017-01-31 07:21:03,7774,2,13123,3,7128219,532,45.51578,-122.68041799999999
300,53,2017-01-31 07:21:04,8360,2,8361,3,7127668,202,45.505794,-122.435919
90,-47,2017-01-31 07:21:07,9843,3,9841,4,7127290,247,45.52126,-122.972174
180,-186,2017-01-31 07:21:07,11500,3,11501,4,7128426,413,45.576434000000006,-122.682134
90,7,2017-01-31 07:21:23,7763,8,8340,9,7129360,203,45.530086,-122.66496200000002
174,-185,2017-01-31 07:21:39,8378,9,8379,10,7127665,209,45.523693,-122.67139099999999
272,-22,2017-01-31 07:21:59,8374,17,8375,18,7127666,106,45.530101,-122.657182
270,-51,2017-01-31 07:21:59,8376,15,8377,16,7129574,241,45.530198999999996,-122.664842
196,-507,2017-01-31 07:21:59,13128,21,13129,22,7129359,104,45.467533,-122.566824
86,-51,2017-01-31 07:22:11,9841,4,9838,5,7127290,247,45.521044,-122.965352
306,-259,2017-01-31 07:22:21,9819,24,9827,25,7127664,235,45.505373,-122.84233
128,-142,2017-01-31 07:22:23,13712,10,13713,11,7130328,205,45.502637,-122.65308
201,-174,2017-01-31 07:22:24,8379,10,8380,11,7127665,209,45.521436,-122.671618
89,113,2017-01-31 07:22:35,8348,2,8349,3,7127286,322,45.522481,-122.53719099999999
180,-155,2017-01-31 07:22:37,11501,4,11502,5,7128426,413,45.569196000000005,-122.682194
90,-16,2017-01-31 07:22:47,8340,9,8341,10,7129360,120,45.530075,-122.66198500000002
21,-218,2017-01-31 07:23:10,13123,3,7777,4,7128219,532,45.518988,-122.6787
301,93,2017-01-31 07:23:17,13449,4,8362,5,7127668,202,45.514247999999995,-122.455859
268,-188,2017-01-31 07:23:23,9624,32,9818,33,7127911,107,45.492264,-122.79572900000001
165,-169,2017-01-31 07:24:04,8346,34,8347,35,7127547,221,45.531259000000006,-122.56393600000001
178,-162,2017-01-31 07:24:14,13713,11,13714,12,7130328,319,45.497113,-122.64821599999999
180,-135,2017-01-31 07:24:17,11502,5,11503,6,7128426,413,45.562045,-122.682272
305,-256,2017-01-31 07:24:18,9827,25,9829,26,7127664,249,45.510090999999996,-122.851679
91,-32,2017-01-31 07:24:33,8341,10,8342,11,7129360,120,45.53007,-122.657223
168,-487,2017-01-31 07:24:38,13129,22,13130,23,7129359,321,45.453127,-122.57360200000001
270,-73,2017-01-31 07:24:39,8375,18,8376,19,7127666,106,45.530107,-122.66230300000001
270,-67,2017-01-31 07:24:48,8376,19,8377,20,7127666,106,45.53011,-122.663045
87,-305,2017-01-31 07:25:04,9969,16,10120,17,7127287,417,45.510432,-122.72342900000001
74,-38,2017-01-31 07:25:11,9838,5,9839,6,7127290,320,45.529309000000005,-122.93411299999998
21,-226,2017-01-31 07:25:18,7777,4,7787,5,7128219,532,45.522098,-122.67701299999999
